,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating,primary_genre,store_genres,publisher,developer,detected_technologies,store_asset_mod_time,review_percentage,players_right_now,24_hour_peak,all_time_peak,all_time_peak_date
23787,Switch It,/app/1655060/,2021-06-17,1,1,0,1,59.42,Indie (23),"Casual (4), Indie (23)",Lucas Fernandez,Lucas Fernandez,Engine.Unity; SDK.cURL,2021-06-02,,0,0,1,2021-06-19
23788,Themes of Dark and Light,/app/1655440/,2021-09-15,3,1,0,1,59.42,Indie (23),"Casual (4), Indie (23)",Carriage Developed,Carriage Developed,Engine.Unity; SDK.cURL,2021-06-25,,0,0,3,2021-11-01
23789,Super Shield Dash,/app/1657280/,2021-08-22,1,1,0,1,59.42,Action (1),"Action (1), Casual (4), Indie (23)",Bruce Nguyen,Bruce Nguyen,Engine.GameMaker,2021-08-21,,0,0,1,2021-08-22
23790,MyHoriZen,/app/1657550/,2021-09-15,1,1,0,1,59.42,Casual (4),"Casual (4), Indie (23), Early Access (70)",Distant Star Studios LLC,Distant Star Studios LLC,Engine.Unity; SDK.OculusXRPlugin; SDK.OpenVR,2021-06-14,,0,0,1,2021-09-15
23791,Witty witch,/app/1658210/,2021-10-29,2,1,0,1,59.42,Action (1),Action (1),mxPlay,mxPlay,Engine.Unity; SDK.FMOD; SDK.UnityURP; SDK.cURL,2021-06-14,,0,0,2,2021-10-29
23792,Sprite Sequence Chapter 2,/app/1659270/,2021-10-15,2,1,0,1,59.42,Adventure (25),"Adventure (25), Simulation (28)",Small is Beautiful Studio inc.,Small is Beautiful Studio inc.,Engine.GameMaker,2021-10-11,,0,0,2,2021-10-16
23793,Neon: Eternal,/app/1660200/,2021-07-26,1,1,0,1,59.42,Action (1),"Action (1), Casual (4), Indie (23)",WaffleHouseStudios,WaffleHouseStudios,Engine.Unity; SDK.UnityURP,2021-07-11,,0,0,1,2021-08-03
23794,RE:Jump Boy,/app/1660360/,2021-07-31,2,1,0,1,59.42,Indie (23),"Action (1), Adventure (25), Casual (4), Indie (23)",AHui.Game,AHui.Game,Engine.Unity; SDK.UnityURP; SDK.cURL,2021-07-15,,0,0,2,2021-08-02
23795,wav ocs game,/app/1661210/,2021-08-17,1,1,0,1,59.42,Indie (23),"Indie (23), Simulation (28)",William Jones,William Jones,Engine.Unity; SDK.cURL,2021-07-25,,0,0,1,2022-02-07
23796,Griddlers Beach Season,/app/1665040/,2021-07-19,4,1,0,1,59.42,Casual (4),Casual (4),8floor,Creobit,SDK.OpenAL; SDK.Vorbis,2021-07-13,,0,1,4,2022-02-07
23797,Virtual Amusement,/app/1668010/,2021-08-04,1,1,0,1,59.42,Indie (23),"Indie (23), Strategy (2)",Myaune,Myaune,Engine.Unity; SDK.OculusXRPlugin; SDK.OpenVR,2021-07-20,,0,0,1,2021-08-05
23798,Ammo 666,/app/1671060/,2021-07-02,2,1,0,1,59.42,Action (1),"Action (1), Casual (4), Indie (23)",Tamashii,Tamashii,Engine.Unreal; SDK.NVIDIA_APEX; SDK.OpenSSL; SDK.OpenVR; SDK.Vorbis,2021-06-17,,0,0,2,2021-12-06
23799,Dwarves Craft. Mountain Brothers,/app/1671630/,2021-09-16,5,1,0,1,59.42,Casual (4),Casual (4),DigiMight,DigiMight,Engine.Unity,2021-06-17,,0,1,5,2022-05-21
23800,Shiba Mekuri 柴めくり,/app/1673300/,2021-07-15,2,1,0,1,59.42,Casual (4),"Casual (4), Indie (23)",KoheiGallery,KoheiGallery,nan,2021-07-06,,0,0,2,2021-10-29
23801,Geisterland,/app/1673450/,2021-07-31,1,1,0,1,59.42,Indie (23),"Action (1), Adventure (25), Casual (4), Indie (23)",Blacksmith Joe,Blacksmith Joe,Engine.Unity,2021-07-11,,0,0,1,2021-07-31
23802,Egg of Empire,/app/1673800/,2021-07-14,2,1,0,1,59.42,Indie (23),"Adventure (25), Casual (4), Indie (23), Simulation (28), Strategy (2)",Lin's Fun Box,Lin's Fun Box,Engine.Unity; SDK.cURL,2021-08-03,,0,0,2,2021-07-14
23803,DeHexTD,/app/1674160/,2021-07-08,2,1,0,1,59.42,Strategy (2),Strategy (2),reiti.net,reiti.net,Engine.MonoGame,2021-06-21,,0,0,2,2021-07-08
23804,There May Be Ninety-Nine Of Us But We Have To Win In Ninety-Nine Turns!,/app/1675410/,2021-07-14,2,1,0,1,59.42,Indie (23),"Indie (23), RPG (3), Strategy (2)",Cannibal Interactive,Cannibal Interactive,Engine.RPGMaker; SDK.NWJS; SDK.NodeJS,2021-06-26,,0,0,2,2021-07-21
