,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating,primary_genre,store_genres,publisher,developer,detected_technologies,store_asset_mod_time,review_percentage,players_right_now,24_hour_peak,all_time_peak,all_time_peak_date
0,Pizza Tower,/app/2231450/,2023-01-26,4529,19807,227,20034,96.39,Action (1),"Action (1), Indie (23)",Tour De Pizza,Tour De Pizza,Engine.GameMaker; SDK.FMOD,2023-01-10,98.0,"3,101","3,606",4529,2023-03-25
1,Resident Evil 4,/app/2050650/,2023-03-24,168191,61752,1616,63368,95.75,Action (1),"Action (1), Adventure (25)",CAPCOM Co. Ltd.,CAPCOM Co. Ltd.,Engine.RE_Engine; SDK.AMD_GPU_Services,2023-03-29,97.0,"46,289","47,164",168191,2023-03-25
2,The Murder of Sonic the Hedgehog,/app/2324650/,2023-03-31,15543,12643,213,12856,95.54,Casual (4),"Casual (4), Free to Play (37), Indie (23), Simulation (28)",SEGA,SEGA,Engine.Unity; SDK.UnityBurst; SDK.cURL,2023-03-24,98.0,618,776,15543,2023-03-31
3,Pineapple on pizza,/app/2263010/,2023-03-28,1415,11717,209,11926,95.39,Indie (23),"Casual (4), Free to Play (37), Indie (23)",Majorariatto,Majorariatto,Engine.Unity; SDK.cURL,2023-03-22,98.0,101,101,1415,2023-03-28
4,Hi-Fi RUSH,/app/1817230/,2023-01-25,6132,14152,324,14476,95.09,Action (1),Action (1),Bethesda Softworks,Tango Gameworks,Engine.Unreal; SDK.Intel_OID; SDK.Intel_XeSS; SDK.NVIDIA_APEX; SDK.NVIDIA_DLSS; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.Wwise; SDK.XAudio2; SDK.iZotope,2023-04-11,97.0,630,664,6132,2023-01-29
5,东北之夏,/app/2121360/,2023-01-09,8672,8891,165,9056,95.08,RPG (3),"Free to Play (37), RPG (3)",庄不纯工作室,庄不纯工作室,Engine.Unity,2022-09-29,98.0,62,75,8672,2023-01-10
6,Crab Champions,/app/774801/,2023-04-01,8564,5129,81,5210,94.76,Action (1),"Action (1), Adventure (25), Casual (4), Indie (23), Racing (9), Strategy (2), Early Access (70)",Noisestorm Limited,Noisestorm Limited,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,2023-04-02,98.0,"4,142","6,419",8564,2023-04-08
7,Papa's Freezeria Deluxe,/app/2291760/,2023-03-31,1227,1832,20,1852,93.84,Strategy (2),"Action (1), Casual (4), Indie (23), Simulation (28), Strategy (2)",Flipline Studios,Flipline Studios,Engine.Adobe_AIR,2023-03-28,99.0,661,838,1227,2023-04-02
8,A Space for the Unbound,/app/1201270/,2023-01-19,338,1917,27,1944,93.64,Adventure (25),"Adventure (25), Indie (23)",Toge Productions,Mojiken,Engine.Unity; SDK.FMOD; SDK.SteamworksNET; SDK.cURL,2023-02-14,98.0,63,63,338,2023-01-20
9,Handshakes,/app/2171690/,2023-01-13,195,1166,10,1176,93.3,Free to Play (37),"Casual (4), Free to Play (37)",Pet Pumpkin,Pet Pumpkin,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2023-03-26,99.0,8,15,195,2023-01-21
10,候鸟,/app/1765350/,2023-01-11,162,1149,12,1161,93.12,Adventure (25),Adventure (25),Syawase Works China,KIDFansClub,Engine.RenPy,2023-01-10,98.0,19,20,162,2023-02-27
11,Симулятор Побега от Военкомата,/app/1248090/,2023-04-03,775,1995,42,2037,93.1,Indie (23),"Action (1), Adventure (25), Indie (23), Simulation (28)",Pirotexnik,Pirotexnik,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2023-03-24,97.0,127,157,775,2023-04-06
12,I commissioned some bees 0,/app/2250060/,2023-01-12,374,1733,36,1769,92.92,Indie (23),"Casual (4), Free to Play (37), Indie (23)",Follow The Fun,Follow The Fun,nan,2023-01-12,97.0,21,31,374,2023-01-16
13,Spin Rhythm XD,/app/1058830/,2023-03-14,313,2909,86,2995,92.89,Indie (23),"Action (1), Casual (4), Indie (23)",Super Spin Digital,Super Spin Digital,Engine.Unity; SDK.Discord; SDK.SteamworksNET; SDK.UnityURP; SDK.cURL,2023-03-15,97.0,57,69,313,2020-04-14
14,OCTOPATH TRAVELER II,/app/1971650/,2023-02-24,17008,4403,158,4561,92.85,RPG (3),RPG (3),Square Enix,Square Enix,Engine.Unreal; SDK.CRIWARE; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,2023-03-23,96.0,"3,206","3,388",17008,2023-02-26
15,Boneraiser Minions,/app/1944570/,2023-03-09,2029,3093,97,3190,92.82,Action (1),"Action (1), Casual (4), Indie (23), RPG (3)",caiys,caiys,Engine.GameMaker,2022-08-01,96.0,332,374,2029,2023-03-19
16,Bloody Hell,/app/2056220/,2023-01-27,395,1308,22,1330,92.8,Indie (23),"Action (1), Adventure (25), Free to Play (37), Indie (23)",Pun Intended,Pun Intended,Engine.Unity; SDK.Discord; SDK.FMOD; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP,2023-01-27,98.0,60,69,395,2023-01-29
17,DREDGE,/app/1562430/,2023-03-30,12686,5632,234,5866,92.63,Adventure (25),"Adventure (25), RPG (3)",Team17,Black Salt Games,Engine.Unity; SDK.UnityURP; SDK.cURL,2023-03-30,96.0,"7,523","7,523",12686,2023-04-02
18,Your Only Move Is HUSTLE,/app/2212330/,2023-02-02,3405,5664,245,5909,92.5,Indie (23),"Action (1), Indie (23), Simulation (28), Strategy (2)",Ivy Sly,Ivy Sly,Engine.Godot,2023-01-03,95.0,745,"1,255",3405,2023-02-18
19,Touhou Hero of Ice Fairy,/app/1955830/,2023-02-25,573,736,8,744,92.24,Action (1),"Action (1), Adventure (25), Indie (23), RPG (3), Early Access (70)",GAMEPULSE 游戏脉冲,GAMEPULSE 游戏脉冲,Engine.Unity; SDK.UnityURP,2023-04-14,98.0,69,81,573,2023-02-25
20,Your Turn To Die -Death Game By Majority- ,/app/2067780/,2023-02-20,471,616,4,620,92.23,Indie (23),"Adventure (25), Indie (23), Early Access (70)",0UP GAMES,Nankidai,Engine.RPGMaker; SDK.Greenworks; SDK.NWJS; SDK.NodeJS; SDK.Vorbis,2023-02-17,99.0,39,47,471,2023-02-20
21,DR LIVESEY ROM AND DEATH EDITION,/app/2181930/,2023-02-13,818,4397,221,4618,91.65,Action (1),"Action (1), Adventure (25), Indie (23), RPG (3), Simulation (28)",Agafonoff,Agafonoff,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2022-11-22,95.0,43,50,818,2023-04-06
22,Half-Life: MMod,/app/1761270/,2023-03-14,1027,1222,39,1261,91.44,Action (1),Action (1),Gunship_Mark_II,MMod Team,Engine.GoldSource; SDK.CEF; SDK.Miles_Sound_System; SDK.SDL,2023-03-14,96.0,90,106,1027,2023-03-14
23,Hogwarts Legacy,/app/990080/,2023-02-10,879308,179479,14684,194163,91.35,Adventure (25),"Action (1), Adventure (25), RPG (3)",Warner Bros. Games,Avalanche Software,Engine.Unreal; SDK.EpicOnlineServices; SDK.Intel_XeSS; SDK.NVIDIA_Ansel; SDK.NVIDIA_DLSS; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.Wwise; SDK.XAudio2,2023-02-14,92.0,"34,741","34,741",879308,2023-02-12
24,Big Ambitions,/app/1331550/,2023-03-10,10961,3976,218,4194,91.17,Simulation (28),"Indie (23), Simulation (28), Early Access (70)",Hovgaard Games,Hovgaard Games,Engine.Unity; SDK.UnityBurst; SDK.UnityHDRP,2023-03-09,94.0,"2,913","2,913",10961,2023-03-12
25,Apewar,/app/2306590/,2023-03-24,361,1313,50,1363,91.06,Action (1),"Action (1), Casual (4), Indie (23), Strategy (2), Early Access (70)",Gombe Games,Gombe Games,Engine.Unity,2023-03-27,96.0,91,190,361,2023-03-31
26,Meg's Monster,/app/1783360/,2023-03-02,195,484,7,491,91.06,RPG (3),"Adventure (25), Indie (23), RPG (3)",Odencat,Odencat,nan,2023-03-02,98.0,18,26,195,2023-03-05
27,The Test: Secrets of the Soul,/app/2231890/,2023-02-20,16,527,9,536,91.04,Simulation (28),"Adventure (25), Casual (4), Free to Play (37), Indie (23), RPG (3), Simulation (28)",Randumb Studios,Randumb Studios,Engine.RPGMaker; SDK.NWJS; SDK.NodeJS,2022-12-17,98.0,2,4,16,2023-02-21
28,Barotrauma,/app/602960/,2023-03-13,19655,41677,3286,44963,90.99,Indie (23),"Action (1), Indie (23), Simulation (28), Strategy (2)",Daedalic Entertainment,FakeFish,Engine.MonoGame; SDK.SDL; SDK.Vorbis,2023-03-13,92.0,"7,552","7,811",19655,2021-11-14
29,觅长生,/app/1189490/,2023-01-13,26379,17906,1323,19229,90.91,Indie (23),"Indie (23), RPG (3), Strategy (2)",Chalcedony Network,Chalcedony Network,Engine.Unity,2023-01-13,93.0,"3,942","4,391",26379,2023-01-26
30,Birth,/app/1889040/,2023-02-17,183,442,7,449,90.74,Indie (23),"Adventure (25), Indie (23)",Madison Karrh,Madison Karrh,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2023-01-19,98.0,23,39,183,2023-04-01
31,Contraband Police,/app/756800/,2023-03-08,8124,4519,282,4801,90.69,Simulation (28),"Action (1), Adventure (25), Simulation (28)",PlayWay S.A.,Crazy Rocks,Engine.Unity; SDK.Vorbis,2023-03-08,94.0,"1,558","1,589",8124,2023-03-12
32,Bing in Wonderland,/app/1710100/,2023-01-13,977,1184,48,1232,90.69,Action (1),"Action (1), Casual (4), Indie (23)",Wanba Studio,Wanba Studio,Engine.Unity; SDK.SteamworksNET; SDK.UnityURP; SDK.Wwise; SDK.cURL,2023-04-03,96.0,97,141,977,2023-01-14
33,Luck be a Landlord,/app/1404850/,2023-01-06,2544,6625,459,7084,90.5,Indie (23),"Indie (23), Simulation (28), Strategy (2)",TrampolineTales,TrampolineTales,Engine.Godot,2023-01-05,93.0,408,417,2544,2021-03-23
34,Durka Simulator,/app/1450150/,2023-03-21,48,1598,80,1678,90.4,Indie (23),"Free to Play (37), Indie (23), Simulation (28)",Alcohol Studios,Crucial Experiment,Engine.RenPy; SDK.SteamworksNET,2023-04-08,95.0,3,7,48,2021-04-01
35, Dead Space,/app/1693980/,2023-01-27,30925,21792,1820,23612,90.25,Adventure (25),"Action (1), Adventure (25)",Electronic Arts,Motive,Engine.Frostbite; SDK.AMD_GPU_Services; SDK.NVIDIA_DLSS,2023-02-27,92.0,761,772,30925,2023-01-28
36,PARANORMASIGHT: The Seven Mysteries of Honjo,/app/2106840/,2023-03-08,582,654,24,678,89.93,Adventure (25),"Adventure (25), RPG (3), Simulation (28)",Square Enix,Square Enix,Engine.Unity; SDK.UnityBurst,2023-03-08,96.0,124,148,582,2023-03-19
37,Patch Quest,/app/1347970/,2023-03-02,2356,1357,72,1429,89.92,Indie (23),"Action (1), Adventure (25), Indie (23)",Curve Games,Lychee Game Labs,Engine.Unity; SDK.Discord,2023-04-06,94.0,119,134,2356,2023-03-04
38,Vertigo 2,/app/843390/,2023-03-30,295,497,15,512,89.88,Adventure (25),"Action (1), Adventure (25), Indie (23)",Zulubo Productions,Zach Tsiakalis-Brown,Engine.Unity; SDK.OpenVR; SDK.Steam_Audio,2023-01-29,97.0,78,96,295,2023-03-31
39,Larcin Lazer,/app/1707400/,2023-01-24,38,223,1,224,89.85,Indie (23),"Action (1), Casual (4), Indie (23)",Tambouille,Tambouille,SDK.NWJS; SDK.NodeJS,2023-01-23,99.0,1,2,38,2023-01-25
40,Fallen Hero: Retribution,/app/1343810/,2023-02-02,379,242,2,244,89.79,Indie (23),"Action (1), Adventure (25), Casual (4), Indie (23), RPG (3)",Hosted Games,Hosted Games,Container.Electron,2022-07-02,99.0,11,20,379,2023-02-02
41,Scarlet Maiden,/app/1968840/,2023-01-27,736,895,42,937,89.72,Action (1),"Action (1), Adventure (25), Early Access (70)",Critical Bliss,Otterside Games,Engine.Unity; SDK.SteamworksNET; SDK.UnityURP; SDK.cURL,2023-01-19,95.0,66,72,736,2023-01-28
42,Landfall Archives,/app/2353760/,2023-03-31,1247,695,29,724,89.66,Action (1),"Action (1), Adventure (25), Casual (4), Free to Play (37), Indie (23), Simulation (28), Strategy (2)",Landfall,Landfall,Engine.Unity; SDK.FMOD; SDK.Photon; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2023-03-11,96.0,155,163,1247,2023-04-01
43,Elong Plug,/app/2172030/,2023-02-25,34,231,2,233,89.63,Free to Play (37),"Adventure (25), Casual (4), Free to Play (37), Indie (23)",AriaMohebi,Aria Mohebi,Engine.Unity; SDK.FMOD; SDK.UnityURP; SDK.cURL,2023-01-25,99.0,2,4,34,2023-03-04
44,The Symbiant,/app/1883090/,2023-02-02,120,284,5,289,89.51,Indie (23),"Casual (4), Indie (23), Simulation (28)",HeartCoreDev,HeartCoreDev,Engine.RenPy,2023-02-08,98.0,4,7,120,2023-02-04
45,Shogun Showdown: Prologue,/app/2316330/,2023-04-04,590,274,5,279,89.37,Strategy (2),"Free to Play (37), RPG (3), Strategy (2)",Goblinz Publishing,Roboatino,Engine.Unity; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2023-04-04,98.0,82,88,590,2023-04-05
46,流光易逝的夏末 - Fleeting Summer's End,/app/2205290/,2023-01-06,22,165,0,165,89.27,RPG (3),RPG (3),高柳堂,高柳堂,Engine.RPGMaker; SDK.NWJS; SDK.NodeJS,2022-12-23,100.0,0,1,22,2023-01-06
47,Lake Haven - Chrysalis,/app/1696960/,2023-01-18,24,246,4,250,89.23,Adventure (25),"Action (1), Adventure (25)",Encrypt Games,Encrypt Games,Engine.Unity; SDK.UnityBurst; SDK.cURL,2023-01-18,98.0,0,3,24,2023-01-22
48,The Legend of Heroes: Trails to Azure,/app/1668520/,2023-03-14,884,183,1,184,89.18,RPG (3),RPG (3),NIS America Inc.,Nihon Falcom,SDK.Discord,2023-03-14,98.0,318,331,884,2023-03-19
49,Half-Life 2: VR Mod - Episode One,/app/2177750/,2023-03-17,193,237,4,241,89.08,Action (1),"Action (1), Adventure (25)",Source VR Mod Team,Source VR Mod Team,Engine.Source; SDK.Bink_Video; SDK.CEF; SDK.Miles_Sound_System; SDK.OpenVR; SDK.SDL; SDK.SteamworksNET,2023-04-02,98.0,39,39,193,2023-03-17
50,q.u.q.,/app/2302140/,2023-02-27,24,283,7,290,88.96,Indie (23),Indie (23),Nikita Kryukov,motijan,Engine.RenPy,2023-02-02,97.0,8,15,24,2023-02-27
51,The Last Spell,/app/1105670/,2023-03-09,6755,7268,659,7927,88.89,Strategy (2),"Action (1), Indie (23), RPG (3), Strategy (2)",The Arcade Crew,Ishtar Games,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2023-03-14,91.0,"1,837","1,869",6755,2021-06-06
52,EMPTY SHELL: PROLOGUE,/app/2224850/,2023-01-06,130,628,31,659,88.88,Free to Play (37),"Action (1), Adventure (25), Free to Play (37), Indie (23)",Hyperstrange,CC ARTS,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2022-12-11,95.0,4,12,130,2023-01-14
53,Sifu,/app/2138710/,2023-03-28,3189,1727,125,1852,88.76,Action (1),"Action (1), Indie (23)",Sloclap,Sloclap,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_DLSS; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.Wwise; SDK.XAudio2; SDK.iZotope,2023-04-13,92.0,960,"1,038",3189,2023-04-01
54,方寸文明,/app/2230280/,2023-01-01,1414,787,45,832,88.7,Strategy (2),Strategy (2),喜人一个,喜人一个,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,2022-12-07,94.0,111,126,1414,2023-01-06
55,Crimson Snow,/app/2067790/,2023-03-29,103,758,43,801,88.67,Adventure (25),"Action (1), Adventure (25), Indie (23)",Steppe Hare Studio,Steppe Hare Studio,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,2022-11-24,94.0,9,14,103,2022-12-23
56,通神榜 Noobs Want to Live,/app/1737340/,2023-02-14,8622,3135,263,3398,88.61,Casual (4),"Action (1), Adventure (25), Casual (4), Indie (23)",Lightning Games,元气弹工作室,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2023-02-16,92.0,641,718,8622,2023-02-16
57,스테퍼 케이스: 초능력 추리 어드벤처,/app/2128480/,2023-03-10,134,242,6,248,88.54,Adventure (25),"Adventure (25), Early Access (70)",Team Tetrapod,Team Tetrapod,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,2023-03-06,97.0,50,59,134,2023-03-19
58,Ages of Conflict: World War Simulator,/app/2186320/,2023-02-17,312,442,20,462,88.47,Simulation (28),"Casual (4), Indie (23), Simulation (28), Early Access (70)",JoySpark Games,JoySpark Games,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2023-02-09,95.0,183,183,312,2023-02-25
59,RHYTHM SPROUT,/app/1475840/,2023-02-01,204,311,11,322,88.4,Indie (23),"Action (1), Adventure (25), Indie (23)",tinyBuild,SURT,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,2023-02-02,96.0,7,20,204,2023-02-02
60,Mortal Sin,/app/1494810/,2023-03-15,191,280,9,289,88.38,Action (1),"Action (1), Indie (23), RPG (3), Early Access (70)",Nikola Todorovic,Nikola Todorovic,Engine.Unity; SDK.UnityBurst,2023-03-10,96.0,14,20,191,2023-03-17
61,Figment 2: Creed Valley,/app/1085220/,2023-03-09,62,183,3,186,88.37,Adventure (25),"Action (1), Adventure (25), Indie (23)",Bedtime Digital Games,Bedtime Digital Games,Engine.Unity; SDK.UnityBurst; SDK.cURL,2023-03-09,98.0,3,14,62,2023-03-10
62,Locke(d),/app/2267810/,2023-01-23,30,470,23,493,88.33,Free to Play (37),"Free to Play (37), Indie (23)",KigyoDev,KigyoDev,Engine.RenPy,2023-04-14,95.0,1,5,30,2023-01-28
63,Cultivation Story: Reincarnation,/app/1866880/,2023-01-30,1626,1392,104,1496,88.28,Indie (23),"Action (1), Adventure (25), Indie (23), RPG (3)",Chi Entertainment Corp.,Chi Entertainment Corp.,Engine.Unity; SDK.SteamworksNET; SDK.UnityURP; SDK.cURL,2023-01-31,93.0,157,162,1626,2023-02-08
64,Gorilla Tag,/app/1533390/,2023-01-01,1679,26120,2876,28996,88.26,Action (1),"Action (1), Casual (4)",Another Axiom,Another Axiom,Engine.Unity; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Photon; SDK.UnityBurst,2022-12-28,90.0,"1,154","1,154",1679,2022-04-03
65,SpongeBob SquarePants: The Cosmic Shake,/app/1282150/,2023-01-31,1949,1203,88,1291,88.19,Action (1),Action (1),THQ Nordic,Purple Lamp,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_Ansel; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OpenXR; SDK.Vorbis; SDK.XAudio2,2023-02-10,93.0,43,50,1949,2023-01-31
66,Can of Wormholes,/app/1295320/,2023-03-24,165,138,1,139,88.15,Indie (23),Indie (23),munted finger,munted finger,SDK.OpenAL,2023-03-19,99.0,49,49,165,2023-03-25
67,Love Love School Days,/app/1305300/,2023-02-06,277,316,13,329,88.01,Action (1),"Action (1), Adventure (25), Indie (23)",OTL GAME,OTL GAME,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2022-04-19,96.0,21,35,277,2023-02-06
68,Die in the Dungeon PROLOGUE,/app/2214080/,2023-01-12,379,311,13,324,87.92,Indie (23),"Indie (23), RPG (3), Strategy (2)",DitD Team,DitD Team,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2023-01-19,96.0,16,18,379,2023-01-22
69,Season,/app/695330/,2023-01-31,461,747,50,797,87.88,Adventure (25),"Adventure (25), Casual (4), Indie (23)",Scavengers Studio,Scavengers Studio,Engine.Unreal; SDK.EpicOnlineServices; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_DLSS; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenXR; SDK.Vorbis; SDK.Wwise; SDK.XAudio2; SDK.iZotope,2023-04-14,93.0,24,24,461,2023-02-01
70,Halls of Torment Prelude,/app/2316660/,2023-03-09,1080,597,37,634,87.83,Action (1),"Action (1), Casual (4), Indie (23), RPG (3)",Chasing Carrots,Chasing Carrots,Engine.Godot,2023-02-22,94.0,129,151,1080,2023-03-28
71,挂机神话,/app/1863750/,2023-04-07,1142,1326,107,1433,87.76,Indie (23),"Casual (4), Indie (23), RPG (3), Strategy (2)",摸鱼猫工作室,摸鱼猫工作室,Engine.Unity,2023-04-07,92.0,480,534,1142,2022-05-19
72,Demons Roots,/app/1933660/,2023-01-14,612,575,36,611,87.72,Indie (23),"Adventure (25), Indie (23), RPG (3)",Kagura Games,Quick nail Aristocrat,Engine.RPGMaker; SDK.NWJS; SDK.NodeJS; SDK.Vorbis,2023-03-09,93.0,54,60,612,2023-01-16
73,24 Killers,/app/1668310/,2023-03-09,29,105,0,105,87.72,Adventure (25),"Adventure (25), Casual (4), Indie (23)",Happy Shabby Games,Happy Shabby Games,Engine.Adobe_AIR,2023-03-09,100.0,1,4,29,2023-03-10
74,Demonologist,/app/1929610/,2023-03-27,8806,2737,259,2996,87.64,Adventure (25),"Action (1), Adventure (25), Indie (23), Early Access (70)",Clock Wizard Games,Clock Wizard Games,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_Nsight_Aftermath; SDK.Vivox; SDK.Vorbis; SDK.XAudio2,2023-03-18,91.0,"4,463","7,518",8806,2023-04-09
75,Mr. Saitou,/app/628740/,2023-03-23,61,214,7,221,87.62,Adventure (25),"Adventure (25), Indie (23), RPG (3)",Laura Shigihara,Laura Shigihara,nan,2023-03-14,96.0,1,6,61,2023-03-23
76,Aliens After Ava,/app/1995780/,2023-01-13,14,119,1,120,87.56,Action (1),"Action (1), Free to Play (37), Indie (23)",Alejandro Hervella,Alejandro Hervella,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,2022-07-12,99.0,0,2,14,2023-01-22
77,The Light Brigade,/app/1579880/,2023-02-22,156,445,26,471,87.51,Action (1),"Action (1), RPG (3), Strategy (2)",Funktronic Labs,Funktronic Labs,Engine.Unity; SDK.OpenXR; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2023-03-03,94.0,30,30,156,2023-02-26
78,SkyIsland,/app/2302640/,2023-02-15,216,478,29,507,87.49,Indie (23),"Action (1), Adventure (25), Casual (4), Free to Play (37), Indie (23)",Team.Olympus,Team.Olympus,Engine.Unity; SDK.FMOD; SDK.UnityBurst,2023-02-12,94.0,9,14,216,2023-02-16
79,HOPE LEFT ME,/app/2268470/,2023-03-10,14,150,3,153,87.49,Casual (4),"Casual (4), Indie (23)",.orphans,Astrophysics,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2023-01-12,98.0,0,3,14,2023-03-11
80,Creepy Tale 3: Ingrid Penance,/app/1761780/,2023-03-09,121,165,4,169,87.48,Adventure (25),"Adventure (25), Indie (23)",Creepy Brothers,Creepy Brothers,Engine.Unity; SDK.FMOD; SDK.UnityURP; SDK.cURL,2023-03-30,97.0,22,27,121,2023-03-11
81,VOYAGER,/app/2119210/,2023-03-25,9,116,1,117,87.46,Adventure (25),"Adventure (25), Casual (4), Indie (23), Simulation (28)",Planetary Gears,Planetary Gears,Engine.GameMaker,2023-03-06,99.0,1,3,9,2023-03-26
82,Plasma,/app/1409160/,2023-03-30,358,161,4,165,87.36,Simulation (28),"Indie (23), Simulation (28), Early Access (70)",Dry Licorice,Dry Licorice,Engine.Unity; SDK.FMOD; SDK.SteamworksNET; SDK.cURL,2023-03-30,96.0,60,67,358,2023-03-30
83,NOeSIS Ⅱ-人间无常,/app/1625230/,2023-02-26,17,113,1,114,87.35,RPG (3),"Casual (4), Free to Play (37), RPG (3)",Red × Balloon,Red × Balloon,Engine.NScripter,2023-02-26,99.0,1,3,17,2023-03-04
84,memories,/app/2219470/,2023-02-03,38,376,21,397,87.34,Indie (23),"Adventure (25), Casual (4), Free to Play (37), Indie (23), Simulation (28)",Spookulele Games,guiyyu,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2023-01-29,94.0,2,7,38,2023-02-04
85,Pleh!,/app/2191550/,2023-03-17,124,315,16,331,87.3,Free to Play (37),"Adventure (25), Free to Play (37), Indie (23)",Jester Games,Jester Games,Engine.Unity; SDK.Discord; SDK.SteamworksNET; SDK.cURL,2022-10-19,94.0,7,11,124,2023-03-25
86,Sun Haven,/app/1432860/,2023-03-11,12706,5357,587,5944,87.19,Simulation (28),"Adventure (25), Casual (4), Indie (23), RPG (3), Simulation (28)",Pixel Sprout Studios,Pixel Sprout Studios,Engine.Unity; SDK.SteamworksNET; SDK.UnityURP,2023-03-22,90.0,"4,651","4,977",12706,2023-03-19
87,Atelier Ryza 3: Alchemist of the End & the Secret Key,/app/1999770/,2023-03-24,7162,717,54,771,87.19,RPG (3),"Adventure (25), Casual (4), RPG (3), Simulation (28)",KOEI TECMO GAMES CO. LTD.,KOEI TECMO GAMES CO. LTD.,nan,2023-03-24,93.0,"2,029","2,520",7162,2023-03-26
88,Above Snakes: Prologue,/app/2209150/,2023-03-24,3672,1116,95,1211,87.18,Simulation (28),"Adventure (25), RPG (3), Simulation (28)",Crytivo,Square Glade Games,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2023-03-24,92.0,102,126,3672,2023-03-27
89,Metroplex Zero,/app/1412960/,2023-03-31,16,91,0,91,87.18,Strategy (2),"Strategy (2), Early Access (70)",Enigma Dragons LLC,Enigma Dragons LLC,Engine.Unity; SDK.FMOD; SDK.SteamworksNET; SDK.cURL,2023-04-03,100.0,0,2,16,2023-03-31
90,SimRail - The Railway Simulator,/app/1422130/,2023-01-13,1914,1253,110,1363,87.16,Simulation (28),"Simulation (28), Early Access (70)",PlayWay S.A.,SimRail S.A.,Engine.Unity; SDK.NVIDIA_DLSS,2023-01-13,92.0,419,483,1914,2023-01-13
91,SpunkStock: Music Festival,/app/1863290/,2023-01-26,277,165,5,170,87.05,Action (1),"Action (1), Indie (23)",RegulusNSFW,RegulusNSFW,Engine.Unity; SDK.UnityURP; SDK.cURL,2023-01-26,96.0,4,14,277,2023-01-27
92,Farlanders,/app/1318740/,2023-01-17,251,313,17,330,87.03,Strategy (2),"Indie (23), Simulation (28), Strategy (2)",Crytivo,Andriy Bychkovskyi,Engine.Unity; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2023-01-17,94.0,9,14,251,2023-01-21
93,Clash: Artifacts of Chaos,/app/1430680/,2023-03-09,148,306,17,323,86.89,Action (1),"Action (1), Adventure (25), Indie (23)",Nacon,ACE Team,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,2023-03-09,94.0,10,17,148,2023-03-12
