ID,game,release,positive_reviews,negative_reviews,primary_genre,store_genres,publisher,developer,detected_technologies,all_time_peak,all_time_peak_date
24152,nightshift,2021-07-30,42,27,Free to Play (37),"Action (1), Free to Play (37)",Eric Adams,Eric Adams,Engine.Unity; Engine.XNA; SDK.UnityBurst,8,2021-07-31
24153,Dungeon Limbus,2021-02-14,12,7,Indie (23),"Indie (23), RPG (3)",GameIn,GameIn,Engine.Unity,33,2021-02-16
24154,Re: Award,2021-05-31,12,7,Indie (23),"Action (1), Free to Play (37), Indie (23)",Star Losvice,Star Losvice,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,4,2021-05-31
24155,Tales From Yeoldeburg,2021-01-05,12,7,RPG (3),"Free to Play (37), Indie (23), RPG (3)",Magic Dog Studios,Magic Dog Studios,Engine.Unity,3,2021-01-05
24156,duck flighting,2021-08-02,12,7,Action (1),"Action (1), Casual (4), Simulation (28)",Ritual Interactive,Ritual Interactive,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,2,2021-08-03
24157,Ritual,2021-03-25,12,7,Indie (23),"Adventure (25), Casual (4), Indie (23)",Valera Entertainment,Valera Entertainment,Engine.Godot,2,2021-03-25
24158,Ahri and Bear,2021-04-30,12,7,Adventure (25),"Adventure (25), Casual (4), Free to Play (37), Indie (23)",CatDog Productions,CatDog Productions,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.Vorbis; SDK.XAudio2,5,2021-04-30
24159,Cardiac Unrest,2021-05-22,12,7,Free to Play (37),"Free to Play (37), Indie (23)",Jack Gianduso,Jack Gianduso,Engine.Unity,4,2021-05-23
24161,Hot Milf,2021-11-09,12,7,Casual (4),"Casual (4), Indie (23)",Cyber Keks,Cyber Keks,Engine.Unity,4,2022-03-21
24162,Draft Day Sports: Pro Basketball 2022,2021-12-02,12,7,Sports (18),"Indie (23), Simulation (28), Sports (18), Strategy (2)",Wolverine Studios,Wolverine Studios,SDK.CEF; SDK.SteamworksNET,29,2022-07-02
24163,Mars parking simulator,2021-12-02,12,7,Racing (9),Racing (9),Vitok,Vitok,Engine.Unity; SDK.cURL,2,2022-01-31
24164,Murder of the Bear lake,2021-12-15,12,7,Indie (23),"Casual (4), Indie (23)",Ready To Play,Ready To Play,Engine.Unity; SDK.cURL,2,2022-12-28
24165,NBA 2K22,2021-09-10,21972,15822,Sports (18),"Simulation (28), Sports (18)",2K,Visual Concepts,SDK.XAudio2,46661,2022-05-14
24166,SEX Prison [18+],2021-11-20,58,38,Adventure (25),"Action (1), Adventure (25), Casual (4), Simulation (28)",Romantic Room,Romantic Room,Engine.Unity; SDK.UnityURP; SDK.cURL,692,2022-08-02
24168,Survival Simulator,2021-06-11,15,9,Adventure (25),"Adventure (25), Indie (23)",East2West Games,Yuyi Studio,Engine.Unity; SDK.Vorbis,18,2021-06-19
24170,Survival Simulator,2018-09-19,7,4,Adventure (25),"Adventure (25), Indie (23)",East2West Games,Yuyi Studio,Engine.Unity; SDK.Vorbis,18,2021-06-19
24172,Trump VS Covid: Save The World Clicker,2021-01-05,15,9,Simulation (28),"Indie (23), Simulation (28), Strategy (2)",PaulArt,PaulArt,Engine.Unity; SDK.cURL,7,2021-01-11
24173,VR Walking Simulator,2021-07-13,15,9,Simulation (28),"Adventure (25), Casual (4), Simulation (28)",Atahan Ozturk,Atahan Ozturk,Engine.Unity; SDK.OpenVR; SDK.UnityBurst; SDK.cURL,4,2021-04-18
24174,Ressifice,2021-09-30,15,9,Indie (23),"Action (1), Adventure (25), Indie (23)",Self-Destruction Studios,Self-Destruction Studios,Engine.Unity; SDK.UnityURP; SDK.cURL,3,2021-09-30
24175,HELPLESS,2021-06-10,15,9,Indie (23),Indie (23),HazmatWithAHat,HazmatWithAHat,Engine.Unity; SDK.cURL,4,2021-06-16
24176,Transporter Manager Tycoon,2021-04-02,21,13,Simulation (28),"Casual (4), Indie (23), Simulation (28), Strategy (2)",Softwaves Dist.,Softwaves,SDK.SteamworksNET,13,2021-04-03
24177,Interregnum Chronicles: Signal,2021-07-22,21,13,Indie (23),Indie (23),Spacewalkers,Spacewalkers,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,17,2021-07-23
24178,Paradise Trails,2021-09-29,21,13,Casual (4),"Casual (4), Simulation (28)",HFTGames,HFTGames,Engine.Unity; SDK.OpenXR; SDK.Vorbis,16,2021-09-30
