ID,game,release,positive_reviews,negative_reviews,primary_genre,store_genres,publisher,developer,detected_technologies,all_time_peak,all_time_peak_date
0,Pizza Tower,2023-01-26,19807,227,Action (1),"Action (1), Indie (23)",Tour De Pizza,Tour De Pizza,Engine.GameMaker; SDK.FMOD,4529,2023-03-25
1,Resident Evil 4,2023-03-24,61752,1616,Action (1),"Action (1), Adventure (25)",CAPCOM Co. Ltd.,CAPCOM Co. Ltd.,Engine.RE_Engine; SDK.AMD_GPU_Services,168191,2023-03-25
2,The Murder of Sonic the Hedgehog,2023-03-31,12643,213,Casual (4),"Casual (4), Free to Play (37), Indie (23), Simulation (28)",SEGA,SEGA,Engine.Unity; SDK.UnityBurst; SDK.cURL,15543,2023-03-31
3,Pineapple on pizza,2023-03-28,11717,209,Indie (23),"Casual (4), Free to Play (37), Indie (23)",Majorariatto,Majorariatto,Engine.Unity; SDK.cURL,1415,2023-03-28
4,Hi-Fi RUSH,2023-01-25,14152,324,Action (1),Action (1),Bethesda Softworks,Tango Gameworks,Engine.Unreal; SDK.Intel_OID; SDK.Intel_XeSS; SDK.NVIDIA_APEX; SDK.NVIDIA_DLSS; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.Wwise; SDK.XAudio2; SDK.iZotope,6132,2023-01-29
5,东北之夏,2023-01-09,8891,165,RPG (3),"Free to Play (37), RPG (3)",庄不纯工作室,庄不纯工作室,Engine.Unity,8672,2023-01-10
6,Crab Champions,2023-04-01,5129,81,Action (1),"Action (1), Adventure (25), Casual (4), Indie (23), Racing (9), Strategy (2), Early Access (70)",Noisestorm Limited,Noisestorm Limited,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,8564,2023-04-08
7,Papa's Freezeria Deluxe,2023-03-31,1832,20,Strategy (2),"Action (1), Casual (4), Indie (23), Simulation (28), Strategy (2)",Flipline Studios,Flipline Studios,Engine.Adobe_AIR,1227,2023-04-02
8,A Space for the Unbound,2023-01-19,1917,27,Adventure (25),"Adventure (25), Indie (23)",Toge Productions,Mojiken,Engine.Unity; SDK.FMOD; SDK.SteamworksNET; SDK.cURL,338,2023-01-20
9,Handshakes,2023-01-13,1166,10,Free to Play (37),"Casual (4), Free to Play (37)",Pet Pumpkin,Pet Pumpkin,Engine.Unity; SDK.SteamworksNET; SDK.cURL,195,2023-01-21
10,候鸟,2023-01-11,1149,12,Adventure (25),Adventure (25),Syawase Works China,KIDFansClub,Engine.RenPy,162,2023-02-27
11,Симулятор Побега от Военкомата,2023-04-03,1995,42,Indie (23),"Action (1), Adventure (25), Indie (23), Simulation (28)",Pirotexnik,Pirotexnik,Engine.Unity; SDK.SteamworksNET; SDK.cURL,775,2023-04-06
13,Spin Rhythm XD,2023-03-14,2909,86,Indie (23),"Action (1), Casual (4), Indie (23)",Super Spin Digital,Super Spin Digital,Engine.Unity; SDK.Discord; SDK.SteamworksNET; SDK.UnityURP; SDK.cURL,313,2020-04-14
14,OCTOPATH TRAVELER II,2023-02-24,4403,158,RPG (3),RPG (3),Square Enix,Square Enix,Engine.Unreal; SDK.CRIWARE; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,17008,2023-02-26
15,Boneraiser Minions,2023-03-09,3093,97,Action (1),"Action (1), Casual (4), Indie (23), RPG (3)",caiys,caiys,Engine.GameMaker,2029,2023-03-19
16,Bloody Hell,2023-01-27,1308,22,Indie (23),"Action (1), Adventure (25), Free to Play (37), Indie (23)",Pun Intended,Pun Intended,Engine.Unity; SDK.Discord; SDK.FMOD; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP,395,2023-01-29
17,DREDGE,2023-03-30,5632,234,Adventure (25),"Adventure (25), RPG (3)",Team17,Black Salt Games,Engine.Unity; SDK.UnityURP; SDK.cURL,12686,2023-04-02
18,Your Only Move Is HUSTLE,2023-02-02,5664,245,Indie (23),"Action (1), Indie (23), Simulation (28), Strategy (2)",Ivy Sly,Ivy Sly,Engine.Godot,3405,2023-02-18
19,Touhou Hero of Ice Fairy,2023-02-25,736,8,Action (1),"Action (1), Adventure (25), Indie (23), RPG (3), Early Access (70)",GAMEPULSE 游戏脉冲,GAMEPULSE 游戏脉冲,Engine.Unity; SDK.UnityURP,573,2023-02-25
20,Your Turn To Die -Death Game By Majority- ,2023-02-20,616,4,Indie (23),"Adventure (25), Indie (23), Early Access (70)",0UP GAMES,Nankidai,Engine.RPGMaker; SDK.Greenworks; SDK.NWJS; SDK.NodeJS; SDK.Vorbis,471,2023-02-20
21,DR LIVESEY ROM AND DEATH EDITION,2023-02-13,4397,221,Action (1),"Action (1), Adventure (25), Indie (23), RPG (3), Simulation (28)",Agafonoff,Agafonoff,Engine.Unity; SDK.SteamworksNET; SDK.cURL,818,2023-04-06
22,Half-Life: MMod,2023-03-14,1222,39,Action (1),Action (1),Gunship_Mark_II,MMod Team,Engine.GoldSource; SDK.CEF; SDK.Miles_Sound_System; SDK.SDL,1027,2023-03-14
23,Hogwarts Legacy,2023-02-10,179479,14684,Adventure (25),"Action (1), Adventure (25), RPG (3)",Warner Bros. Games,Avalanche Software,Engine.Unreal; SDK.EpicOnlineServices; SDK.Intel_XeSS; SDK.NVIDIA_Ansel; SDK.NVIDIA_DLSS; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.Wwise; SDK.XAudio2,879308,2023-02-12
24,Big Ambitions,2023-03-10,3976,218,Simulation (28),"Indie (23), Simulation (28), Early Access (70)",Hovgaard Games,Hovgaard Games,Engine.Unity; SDK.UnityBurst; SDK.UnityHDRP,10961,2023-03-12
25,Apewar,2023-03-24,1313,50,Action (1),"Action (1), Casual (4), Indie (23), Strategy (2), Early Access (70)",Gombe Games,Gombe Games,Engine.Unity,361,2023-03-31
27,The Test: Secrets of the Soul,2023-02-20,527,9,Simulation (28),"Adventure (25), Casual (4), Free to Play (37), Indie (23), RPG (3), Simulation (28)",Randumb Studios,Randumb Studios,Engine.RPGMaker; SDK.NWJS; SDK.NodeJS,16,2023-02-21
28,Barotrauma,2023-03-13,41677,3286,Indie (23),"Action (1), Indie (23), Simulation (28), Strategy (2)",Daedalic Entertainment,FakeFish,Engine.MonoGame; SDK.SDL; SDK.Vorbis,19655,2021-11-14
29,觅长生,2023-01-13,17906,1323,Indie (23),"Indie (23), RPG (3), Strategy (2)",Chalcedony Network,Chalcedony Network,Engine.Unity,26379,2023-01-26
30,Birth,2023-02-17,442,7,Indie (23),"Adventure (25), Indie (23)",Madison Karrh,Madison Karrh,Engine.Unity; SDK.SteamworksNET; SDK.cURL,183,2023-04-01
31,Contraband Police,2023-03-08,4519,282,Simulation (28),"Action (1), Adventure (25), Simulation (28)",PlayWay S.A.,Crazy Rocks,Engine.Unity; SDK.Vorbis,8124,2023-03-12
32,Bing in Wonderland,2023-01-13,1184,48,Action (1),"Action (1), Casual (4), Indie (23)",Wanba Studio,Wanba Studio,Engine.Unity; SDK.SteamworksNET; SDK.UnityURP; SDK.Wwise; SDK.cURL,977,2023-01-14
33,Luck be a Landlord,2023-01-06,6625,459,Indie (23),"Indie (23), Simulation (28), Strategy (2)",TrampolineTales,TrampolineTales,Engine.Godot,2544,2021-03-23
34,Durka Simulator,2023-03-21,1598,80,Indie (23),"Free to Play (37), Indie (23), Simulation (28)",Alcohol Studios,Crucial Experiment,Engine.RenPy; SDK.SteamworksNET,48,2021-04-01
35, Dead Space,2023-01-27,21792,1820,Adventure (25),"Action (1), Adventure (25)",Electronic Arts,Motive,Engine.Frostbite; SDK.AMD_GPU_Services; SDK.NVIDIA_DLSS,30925,2023-01-28
36,PARANORMASIGHT: The Seven Mysteries of Honjo,2023-03-08,654,24,Adventure (25),"Adventure (25), RPG (3), Simulation (28)",Square Enix,Square Enix,Engine.Unity; SDK.UnityBurst,582,2023-03-19
37,Patch Quest,2023-03-02,1357,72,Indie (23),"Action (1), Adventure (25), Indie (23)",Curve Games,Lychee Game Labs,Engine.Unity; SDK.Discord,2356,2023-03-04
38,Vertigo 2,2023-03-30,497,15,Adventure (25),"Action (1), Adventure (25), Indie (23)",Zulubo Productions,Zach Tsiakalis-Brown,Engine.Unity; SDK.OpenVR; SDK.Steam_Audio,295,2023-03-31
39,Larcin Lazer,2023-01-24,223,1,Indie (23),"Action (1), Casual (4), Indie (23)",Tambouille,Tambouille,SDK.NWJS; SDK.NodeJS,38,2023-01-25
40,Fallen Hero: Retribution,2023-02-02,242,2,Indie (23),"Action (1), Adventure (25), Casual (4), Indie (23), RPG (3)",Hosted Games,Hosted Games,Container.Electron,379,2023-02-02
41,Scarlet Maiden,2023-01-27,895,42,Action (1),"Action (1), Adventure (25), Early Access (70)",Critical Bliss,Otterside Games,Engine.Unity; SDK.SteamworksNET; SDK.UnityURP; SDK.cURL,736,2023-01-28
42,Landfall Archives,2023-03-31,695,29,Action (1),"Action (1), Adventure (25), Casual (4), Free to Play (37), Indie (23), Simulation (28), Strategy (2)",Landfall,Landfall,Engine.Unity; SDK.FMOD; SDK.Photon; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,1247,2023-04-01
43,Elong Plug,2023-02-25,231,2,Free to Play (37),"Adventure (25), Casual (4), Free to Play (37), Indie (23)",AriaMohebi,Aria Mohebi,Engine.Unity; SDK.FMOD; SDK.UnityURP; SDK.cURL,34,2023-03-04
44,The Symbiant,2023-02-02,284,5,Indie (23),"Casual (4), Indie (23), Simulation (28)",HeartCoreDev,HeartCoreDev,Engine.RenPy,120,2023-02-04
45,Shogun Showdown: Prologue,2023-04-04,274,5,Strategy (2),"Free to Play (37), RPG (3), Strategy (2)",Goblinz Publishing,Roboatino,Engine.Unity; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,590,2023-04-05
46,流光易逝的夏末 - Fleeting Summer's End,2023-01-06,165,0,RPG (3),RPG (3),高柳堂,高柳堂,Engine.RPGMaker; SDK.NWJS; SDK.NodeJS,22,2023-01-06
47,Lake Haven - Chrysalis,2023-01-18,246,4,Adventure (25),"Action (1), Adventure (25)",Encrypt Games,Encrypt Games,Engine.Unity; SDK.UnityBurst; SDK.cURL,24,2023-01-22
48,The Legend of Heroes: Trails to Azure,2023-03-14,183,1,RPG (3),RPG (3),NIS America Inc.,Nihon Falcom,SDK.Discord,884,2023-03-19
49,Half-Life 2: VR Mod - Episode One,2023-03-17,237,4,Action (1),"Action (1), Adventure (25)",Source VR Mod Team,Source VR Mod Team,Engine.Source; SDK.Bink_Video; SDK.CEF; SDK.Miles_Sound_System; SDK.OpenVR; SDK.SDL; SDK.SteamworksNET,193,2023-03-17
50,q.u.q.,2023-02-27,283,7,Indie (23),Indie (23),Nikita Kryukov,motijan,Engine.RenPy,24,2023-02-27
51,The Last Spell,2023-03-09,7268,659,Strategy (2),"Action (1), Indie (23), RPG (3), Strategy (2)",The Arcade Crew,Ishtar Games,Engine.Unity; SDK.SteamworksNET; SDK.cURL,6755,2021-06-06
52,EMPTY SHELL: PROLOGUE,2023-01-06,628,31,Free to Play (37),"Action (1), Adventure (25), Free to Play (37), Indie (23)",Hyperstrange,CC ARTS,Engine.Unity; SDK.SteamworksNET; SDK.cURL,130,2023-01-14
53,Sifu,2023-03-28,1727,125,Action (1),"Action (1), Indie (23)",Sloclap,Sloclap,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_DLSS; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.Wwise; SDK.XAudio2; SDK.iZotope,3189,2023-04-01
54,方寸文明,2023-01-01,787,45,Strategy (2),Strategy (2),喜人一个,喜人一个,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,1414,2023-01-06
55,Crimson Snow,2023-03-29,758,43,Adventure (25),"Action (1), Adventure (25), Indie (23)",Steppe Hare Studio,Steppe Hare Studio,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,103,2022-12-23
56,通神榜 Noobs Want to Live,2023-02-14,3135,263,Casual (4),"Action (1), Adventure (25), Casual (4), Indie (23)",Lightning Games,元气弹工作室,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,8622,2023-02-16
57,스테퍼 케이스: 초능력 추리 어드벤처,2023-03-10,242,6,Adventure (25),"Adventure (25), Early Access (70)",Team Tetrapod,Team Tetrapod,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,134,2023-03-19
58,Ages of Conflict: World War Simulator,2023-02-17,442,20,Simulation (28),"Casual (4), Indie (23), Simulation (28), Early Access (70)",JoySpark Games,JoySpark Games,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,312,2023-02-25
59,RHYTHM SPROUT,2023-02-01,311,11,Indie (23),"Action (1), Adventure (25), Indie (23)",tinyBuild,SURT,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,204,2023-02-02
60,Mortal Sin,2023-03-15,280,9,Action (1),"Action (1), Indie (23), RPG (3), Early Access (70)",Nikola Todorovic,Nikola Todorovic,Engine.Unity; SDK.UnityBurst,191,2023-03-17
61,Figment 2: Creed Valley,2023-03-09,183,3,Adventure (25),"Action (1), Adventure (25), Indie (23)",Bedtime Digital Games,Bedtime Digital Games,Engine.Unity; SDK.UnityBurst; SDK.cURL,62,2023-03-10
62,Locke(d),2023-01-23,470,23,Free to Play (37),"Free to Play (37), Indie (23)",KigyoDev,KigyoDev,Engine.RenPy,30,2023-01-28
63,Cultivation Story: Reincarnation,2023-01-30,1392,104,Indie (23),"Action (1), Adventure (25), Indie (23), RPG (3)",Chi Entertainment Corp.,Chi Entertainment Corp.,Engine.Unity; SDK.SteamworksNET; SDK.UnityURP; SDK.cURL,1626,2023-02-08
64,Gorilla Tag,2023-01-01,26120,2876,Action (1),"Action (1), Casual (4)",Another Axiom,Another Axiom,Engine.Unity; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Photon; SDK.UnityBurst,1679,2022-04-03
65,SpongeBob SquarePants: The Cosmic Shake,2023-01-31,1203,88,Action (1),Action (1),THQ Nordic,Purple Lamp,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_Ansel; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OpenXR; SDK.Vorbis; SDK.XAudio2,1949,2023-01-31
66,Can of Wormholes,2023-03-24,138,1,Indie (23),Indie (23),munted finger,munted finger,SDK.OpenAL,165,2023-03-25
67,Love Love School Days,2023-02-06,316,13,Action (1),"Action (1), Adventure (25), Indie (23)",OTL GAME,OTL GAME,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,277,2023-02-06
68,Die in the Dungeon PROLOGUE,2023-01-12,311,13,Indie (23),"Indie (23), RPG (3), Strategy (2)",DitD Team,DitD Team,Engine.Unity; SDK.SteamworksNET; SDK.cURL,379,2023-01-22
69,Season,2023-01-31,747,50,Adventure (25),"Adventure (25), Casual (4), Indie (23)",Scavengers Studio,Scavengers Studio,Engine.Unreal; SDK.EpicOnlineServices; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_DLSS; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenXR; SDK.Vorbis; SDK.Wwise; SDK.XAudio2; SDK.iZotope,461,2023-02-01
70,Halls of Torment Prelude,2023-03-09,597,37,Action (1),"Action (1), Casual (4), Indie (23), RPG (3)",Chasing Carrots,Chasing Carrots,Engine.Godot,1080,2023-03-28
71,挂机神话,2023-04-07,1326,107,Indie (23),"Casual (4), Indie (23), RPG (3), Strategy (2)",摸鱼猫工作室,摸鱼猫工作室,Engine.Unity,1142,2022-05-19
72,Demons Roots,2023-01-14,575,36,Indie (23),"Adventure (25), Indie (23), RPG (3)",Kagura Games,Quick nail Aristocrat,Engine.RPGMaker; SDK.NWJS; SDK.NodeJS; SDK.Vorbis,612,2023-01-16
73,24 Killers,2023-03-09,105,0,Adventure (25),"Adventure (25), Casual (4), Indie (23)",Happy Shabby Games,Happy Shabby Games,Engine.Adobe_AIR,29,2023-03-10
74,Demonologist,2023-03-27,2737,259,Adventure (25),"Action (1), Adventure (25), Indie (23), Early Access (70)",Clock Wizard Games,Clock Wizard Games,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_Nsight_Aftermath; SDK.Vivox; SDK.Vorbis; SDK.XAudio2,8806,2023-04-09
76,Aliens After Ava,2023-01-13,119,1,Action (1),"Action (1), Free to Play (37), Indie (23)",Alejandro Hervella,Alejandro Hervella,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,14,2023-01-22
77,The Light Brigade,2023-02-22,445,26,Action (1),"Action (1), RPG (3), Strategy (2)",Funktronic Labs,Funktronic Labs,Engine.Unity; SDK.OpenXR; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,156,2023-02-26
78,SkyIsland,2023-02-15,478,29,Indie (23),"Action (1), Adventure (25), Casual (4), Free to Play (37), Indie (23)",Team.Olympus,Team.Olympus,Engine.Unity; SDK.FMOD; SDK.UnityBurst,216,2023-02-16
79,HOPE LEFT ME,2023-03-10,150,3,Casual (4),"Casual (4), Indie (23)",.orphans,Astrophysics,Engine.Unity; SDK.SteamworksNET; SDK.cURL,14,2023-03-11
80,Creepy Tale 3: Ingrid Penance,2023-03-09,165,4,Adventure (25),"Adventure (25), Indie (23)",Creepy Brothers,Creepy Brothers,Engine.Unity; SDK.FMOD; SDK.UnityURP; SDK.cURL,121,2023-03-11
81,VOYAGER,2023-03-25,116,1,Adventure (25),"Adventure (25), Casual (4), Indie (23), Simulation (28)",Planetary Gears,Planetary Gears,Engine.GameMaker,9,2023-03-26
82,Plasma,2023-03-30,161,4,Simulation (28),"Indie (23), Simulation (28), Early Access (70)",Dry Licorice,Dry Licorice,Engine.Unity; SDK.FMOD; SDK.SteamworksNET; SDK.cURL,358,2023-03-30
83,NOeSIS Ⅱ-人间无常,2023-02-26,113,1,RPG (3),"Casual (4), Free to Play (37), RPG (3)",Red × Balloon,Red × Balloon,Engine.NScripter,17,2023-03-04
84,memories,2023-02-03,376,21,Indie (23),"Adventure (25), Casual (4), Free to Play (37), Indie (23), Simulation (28)",Spookulele Games,guiyyu,Engine.Unity; SDK.SteamworksNET; SDK.cURL,38,2023-02-04
85,Pleh!,2023-03-17,315,16,Free to Play (37),"Adventure (25), Free to Play (37), Indie (23)",Jester Games,Jester Games,Engine.Unity; SDK.Discord; SDK.SteamworksNET; SDK.cURL,124,2023-03-25
86,Sun Haven,2023-03-11,5357,587,Simulation (28),"Adventure (25), Casual (4), Indie (23), RPG (3), Simulation (28)",Pixel Sprout Studios,Pixel Sprout Studios,Engine.Unity; SDK.SteamworksNET; SDK.UnityURP,12706,2023-03-19
88,Above Snakes: Prologue,2023-03-24,1116,95,Simulation (28),"Adventure (25), RPG (3), Simulation (28)",Crytivo,Square Glade Games,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,3672,2023-03-27
89,Metroplex Zero,2023-03-31,91,0,Strategy (2),"Strategy (2), Early Access (70)",Enigma Dragons LLC,Enigma Dragons LLC,Engine.Unity; SDK.FMOD; SDK.SteamworksNET; SDK.cURL,16,2023-03-31
90,SimRail - The Railway Simulator,2023-01-13,1253,110,Simulation (28),"Simulation (28), Early Access (70)",PlayWay S.A.,SimRail S.A.,Engine.Unity; SDK.NVIDIA_DLSS,1914,2023-01-13
91,SpunkStock: Music Festival,2023-01-26,165,5,Action (1),"Action (1), Indie (23)",RegulusNSFW,RegulusNSFW,Engine.Unity; SDK.UnityURP; SDK.cURL,277,2023-01-27
92,Farlanders,2023-01-17,313,17,Strategy (2),"Indie (23), Simulation (28), Strategy (2)",Crytivo,Andriy Bychkovskyi,Engine.Unity; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,251,2023-01-21
93,Clash: Artifacts of Chaos,2023-03-09,306,17,Action (1),"Action (1), Adventure (25), Indie (23)",Nacon,ACE Team,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,148,2023-03-12
94,Glory & Miserable Survivors DX,2023-03-16,390,26,Action (1),"Action (1), Casual (4), RPG (3)",Mango Party,TLACHTLI,Engine.Unity; SDK.SteamworksNET; SDK.cURL,776,2023-03-17
95,Soundodger 2,2023-04-10,109,2,Action (1),"Action (1), Casual (4), Indie (23)",Studio Bean,Studio Bean,Engine.Unity; SDK.Discord; SDK.cURL,53,2021-10-11
96,Caves of Lore,2023-01-21,148,5,RPG (3),"Indie (23), RPG (3), Strategy (2)",by Mike Robins,by Mike Robins,Engine.Unity; SDK.SteamworksNET,103,2023-01-29
97,Lone Fungus,2023-04-07,194,9,Indie (23),"Action (1), Adventure (25), Indie (23)",Basti Games,Basti Games,Engine.ClickTeamFusion,247,2023-04-12
98,Passpartout 2: The Lost Artist,2023-04-04,272,16,Indie (23),"Casual (4), Indie (23), Simulation (28)",Flamebait Games,Flamebait Games,Engine.Unity; SDK.FMOD; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,591,2023-04-08
99,A Bavarian Tale - Totgeschwiegen,2023-02-02,144,5,Adventure (25),"Adventure (25), RPG (3)",Active Fungus Studios,Active Fungus Studios,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OpenVR; SDK.OpenXR; SDK.Vorbis; SDK.XAudio2,57,2023-02-05
101,King Of The Castle,2023-03-02,488,38,Casual (4),"Casual (4), Indie (23), Strategy (2)",Team17,Tributary Games,Engine.Unity; SDK.UnityURP; SDK.cURL,321,2023-03-05
102,ZED ZONE,2023-03-30,1332,135,Indie (23),"Action (1), Indie (23), RPG (3), Simulation (28), Early Access (70)",INDIECN,Leven Liu,Engine.Unity; SDK.UnityBurst,2569,2023-03-31
103,Omega Strikers,2023-04-27,10006,1292,Free to Play (37),"Action (1), Free to Play (37), Strategy (2)",Odyssey Interactive,Odyssey Interactive,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.Wwise; SDK.XAudio2,19257,2022-09-24
104,BETON BRUTAL,2023-03-31,129,4,Indie (23),"Casual (4), Indie (23)",Jan Malitschek,Jan Malitschek,Engine.Unity; SDK.cURL,147,2023-04-06
106,ふりかけ☆スペイシー,2023-03-01,71,0,Indie (23),Indie (23),よんとんトマチン,よんとんトマチン,Engine.Unity; SDK.SteamworksNET; SDK.cURL,48,2023-03-02
107,Cannibal Abduction,2023-01-13,138,5,Adventure (25),"Adventure (25), Indie (23)",selewi,Tomás Esconjaureguy,Engine.Unity; SDK.SteamworksNET; SDK.cURL,25,2023-01-19
108,Graze Counter GM,2023-01-18,84,1,Action (1),"Action (1), Casual (4)",Henteko Doujin,Bikkuri Software,Engine.GameMaker,72,2023-01-19
109,The Multi-Medium,2023-01-20,84,1,Indie (23),"Adventure (25), Casual (4), Indie (23)",Micah Boursier,Micah Boursier,Engine.Unity; SDK.SteamworksNET; SDK.UnityURP,15,2023-01-21
110,Basements n' Basilisks: Storms of Sorcery,2023-02-27,98,2,Adventure (25),"Adventure (25), Casual (4), RPG (3), Simulation (28)",eNVy softworks,eNVy softworks,Engine.Unity,20,2023-02-27
111,Partum Artifex,2023-02-26,83,1,Adventure (25),Adventure (25),DalaKoala Games,DalaKoala Games,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,17,2023-02-27
112,Plan B: Terraform,2023-02-15,1072,108,Early Access (70),"Indie (23), Simulation (28), Strategy (2), Early Access (70)",Gaddy Games,Gaddy Games,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2352,2023-02-15
113,Dreams in the Witch House,2023-02-16,123,4,Adventure (25),"Adventure (25), Indie (23), RPG (3)",Bonus Stage Publishing,Atom Brain Games,Engine.AdventureGameStudio; SDK.SDL,42,2023-02-19
114,Planet Cube: Edge,2023-02-23,97,2,Action (1),"Action (1), Adventure (25), Indie (23)",Firestoke,Sunna Entertainment,Engine.Unity; SDK.EpicOnlineServices; SDK.FMOD; SDK.SteamworksNET; SDK.UnityURP; SDK.cURL,14,2023-02-23
115,The Pale Beyond,2023-02-24,731,68,Indie (23),"Adventure (25), Indie (23), RPG (3), Simulation (28), Strategy (2)",Fellow Traveller,Bellular Studios,Engine.Unity; SDK.FMOD; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,738,2023-02-25
116,Kujlevka,2023-04-06,82,1,Adventure (25),Adventure (25),Crytivo,Callback,Engine.Unreal; SDK.EpicOnlineServices; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,73,2023-04-08
117,vivid/stasis,2023-03-07,109,3,Indie (23),"Indie (23), Early Access (70)",Hajimeli,Team Vividstasis,Engine.GameMaker,53,2023-03-08
118,Aces and Adventures,2023-02-23,879,87,RPG (3),"Adventure (25), RPG (3), Strategy (2)",Yogscast Games,Triple.B.Titles,Engine.Unity; SDK.NVIDIA_DLSS; SDK.UnityBurst; SDK.UnityHDRP; SDK.cURL,2455,2023-02-28
119,Tower Tactics: Liberation,2023-02-06,751,72,Strategy (2),"Indie (23), Strategy (2)",AsraWorks,AsraWorks,Engine.Godot,808,2023-02-12
120,一起击碎吧,2023-04-06,62,0,Casual (4),"Casual (4), Free to Play (37), Racing (9), RPG (3), Strategy (2), Early Access (70)",JS-game,JS-game,SDK.CEF,28,2023-04-09
121,Time Wasters,2023-03-10,695,67,Action (1),"Action (1), Casual (4), Indie (23), RPG (3), Early Access (70)",Proton Studio,Proton Studio,Engine.Unity; SDK.UnityBurst,934,2023-03-12
122,Kandria,2023-01-11,90,2,Action (1),"Action (1), Adventure (25), Indie (23), RPG (3)",Shirakumo Games,Shirakumo Games,SDK.OpenSSL; SDK.Vorbis,26,2023-01-12
123,Juno: New Origins,2023-01-26,1953,229,Simulation (28),"Indie (23), Simulation (28)",Jundroo LLC,Jundroo LLC,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,780,2023-01-29
124,Hell Of An Office,2023-03-14,76,1,Action (1),"Action (1), Indie (23), Early Access (70)",Joystick Ventures,43 Studios,Engine.Unreal; SDK.FMOD; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,26,2023-03-14
